"file","Block","Sentence","Speaker","Word","scoreMax_synchrony","scoreMean_synchrony","scoreMax_syncRel","scoreMean_syncRel","scoreMax_Mass","scoreMean_Mass","scoreMax_scaling","scoreMean_scaling","scoreMax_scaleRel","scoreMean_scaleRel","scoreMax_massXsync","scoreMean_massXsync","scoreMax_massXscale","scoreMean_massXscale","scoreMax_massXf0","scoreMean_massXf0"
"1-04-13_Obdachloser_Bier",1,4,13,"auf",3,3,1.463,1.463,1.28,1.28,-6.51212739844701,-6.51212739844701,1.685,1.685,2.944,2.944,3.104,3.104,6.048,6.048
"1-04-13_Obdachloser_Bier",1,4,13,"meinem",8,2.33333333333333,6.107,3.36033333333333,3.17,1.86666666666667,21.360128944334,15.658630060343,5.528,4.05233333333333,6.92011,5.06039333333333,11.75119,6.22561333333333,18.6713,11.2860066666667
"1-04-13_Obdachloser_Bier",1,4,13,"bild",-7,-7,3.226,3.226,2.55,2.55,-13.755601276908,-13.755601276908,3.56,3.56,7.85145,7.85145,8.13195,8.13195,15.9834,15.9834
"1-04-13_Obdachloser_Bier",1,4,13,"hat",-2,-2,1.587,1.587,0.56,0.56,-14.844014374604,-14.844014374604,3.842,3.842,1.32776,1.32776,1.83456,1.83456,3.16232,3.16232
"1-04-13_Obdachloser_Bier",1,4,13,"der",-5,-5,4.854,4.854,0.61,0.61,-21.654334621313,-21.654334621313,5.604,5.604,2.16489,2.16489,2.27103,2.27103,4.43592,4.43592
"1-04-13_Obdachloser_Bier",1,4,13,"obdachlose",3,0,2.29,1.697,0.98,0.5725,26.156321711372,1.21292430300775,6.769,3.5325,2.4451,1.3905925,2.96156,1.66835,5.40666,3.0589425
"1-04-13_Obdachloser_Bier",1,4,13,"das",-1,-1,0.901,0.901,0.26,0.26,0.691903039018001,0.691903039018001,0.179,0.179,0.50102,0.50102,0.32188,0.32188,0.8229,0.8229
"1-04-13_Obdachloser_Bier",1,4,13,"bier",-8,-8,4.819,4.819,1.42,1.42,-2.53237722434199,-2.53237722434199,0.655,0.655,5.02822,5.02822,2.45234,2.45234,7.48056,7.48056
"1-04-13_Obdachloser_Bier",1,4,13,"getrunken",1,-0.333333333333333,2.105,0.891,0.69,0.476666666666667,10.915243260402,3.14019047449934,2.825,2.212,1.13781,0.740386666666667,1.68291,1.23140666666667,2.82072,1.97179333333333
"1-05-14_zdf_f11",1,5,14,"und",-3,-3,1.37,1.37,1.08,1.08,162.031602453933,162.031602453933,41.933,41.933,2.4246,2.4246,6.93792,6.93792,9.36252,9.36252
